B1,B2,B3,B4,B5,E1,E2,Rank,Gain_CHF
5,13,27,31,49,10,11,,0
5,13,27,31,49,5,12,,0
5,13,27,31,49,3,4,,0
5,13,27,31,49,1,9,,0
5,13,27,31,49,7,8,,0
5,13,27,31,49,10,11,,0
5,13,27,31,49,1,6,,0
5,13,27,31,49,1,2,,0
5,13,27,31,49,10,11,,0
5,13,27,31,49,1,2,,0
5,13,27,31,49,2,9,,0
5,13,27,31,49,7,9,,0
5,13,27,31,49,11,12,,0
5,13,27,31,49,7,10,,0
5,13,27,31,49,10,12,,0
5,13,27,31,49,5,12,,0
5,13,27,31,49,4,12,,0
5,13,27,31,49,1,4,,0
5,13,27,31,49,5,9,,0
5,13,27,31,49,6,7,,0
5,13,27,31,49,6,11,,0
5,13,27,31,49,6,9,,0
5,13,27,31,49,11,12,,0
5,13,27,31,49,6,12,,0
5,13,27,31,49,3,9,,0
5,13,27,31,49,1,12,,0
5,13,27,31,49,4,5,,0
5,13,27,31,49,2,8,12.0,5
5,13,27,31,49,9,12,,0
5,13,27,31,49,3,4,,0
5,13,27,31,49,1,5,,0
5,13,27,31,49,2,9,,0
5,13,27,31,49,4,11,,0
5,13,27,31,49,2,11,,0
5,13,27,31,49,2,9,,0
5,13,27,31,49,5,12,,0
5,13,27,31,49,8,9,,0
5,13,27,31,49,1,7,,0
5,13,27,31,49,8,11,,0
5,13,27,31,49,2,9,,0
5,13,27,31,49,2,8,,0
5,13,27,31,49,4,12,,0
5,13,27,31,49,6,12,12.0,5
5,13,27,31,49,8,12,,0
5,13,27,31,49,2,9,,0
5,13,27,31,49,5,9,,0
5,13,27,31,49,3,9,13.0,4
5,13,27,31,49,7,12,,0
5,13,27,31,49,2,11,,0
5,13,27,31,49,6,8,,0
5,13,27,31,49,2,10,,0
5,13,27,31,49,1,11,11.0,8
5,13,27,31,49,3,11,,0
5,13,27,31,49,4,8,,0
5,13,27,31,49,6,7,,0
5,13,27,31,49,1,5,,0
5,13,27,31,49,2,5,,0
5,13,27,31,49,6,7,,0
5,13,27,31,49,3,8,12.0,5
5,13,27,31,49,3,11,,0
5,13,27,31,49,7,11,,0
5,13,27,31,49,7,10,,0
5,13,27,31,49,4,6,,0
5,13,27,31,49,9,12,,0
5,13,27,31,49,8,10,,0
5,13,27,31,49,3,9,,0
5,13,27,31,49,2,10,,0
5,13,27,31,49,11,12,,0
5,13,27,31,49,1,8,,0
5,13,27,31,49,5,6,,0
5,13,27,31,49,10,12,,0
5,13,27,31,49,1,11,,0
5,13,27,31,49,2,9,,0
5,13,27,31,49,3,10,,0
5,13,27,31,49,4,5,,0
5,13,27,31,49,3,10,13.0,4
5,13,27,31,49,8,11,,0
5,13,27,31,49,2,5,,0
5,13,27,31,49,9,12,,0
5,13,27,31,49,7,9,,0
5,13,27,31,49,1,11,,0
5,13,27,31,49,5,6,,0
5,13,27,31,49,4,11,,0
5,13,27,31,49,3,11,,0
5,13,27,31,49,2,9,,0
5,13,27,31,49,4,5,,0
5,13,27,31,49,4,10,,0
5,13,27,31,49,11,12,,0
5,13,27,31,49,2,11,,0
5,13,27,31,49,5,6,,0
5,13,27,31,49,1,6,,0
5,13,27,31,49,3,7,,0
5,13,27,31,49,10,11,,0
5,13,27,31,49,5,10,,0
5,13,27,31,49,1,12,,0
5,13,27,31,49,1,10,,0
5,13,27,31,49,2,12,,0
5,13,27,31,49,9,10,,0
5,13,27,31,49,2,11,,0
5,13,27,31,49,3,4,,0
5,13,27,31,49,2,11,,0
5,13,27,31,49,1,3,,0
5,13,27,31,49,2,9,,0
5,13,27,31,49,1,6,,0
5,13,27,31,49,9,11,,0
5,13,27,31,49,1,2,,0
5,13,27,31,49,1,4,,0
5,13,27,31,49,2,5,,0
5,13,27,31,49,8,10,13.0,4
5,13,27,31,49,6,7,,0
5,13,27,31,49,1,10,,0
5,13,27,31,49,3,6,,0
5,13,27,31,49,2,11,,0
5,13,27,31,49,1,12,,0
5,13,27,31,49,8,12,,0
5,13,27,31,49,7,8,,0
5,13,27,31,49,8,12,,0
5,13,27,31,49,4,9,,0
5,13,27,31,49,4,9,,0
5,13,27,31,49,2,4,,0
5,13,27,31,49,1,12,,0
5,13,27,31,49,8,10,,0
5,13,27,31,49,1,8,,0
5,13,27,31,49,6,10,13.0,4
5,13,27,31,49,4,6,12.0,5
5,13,27,31,49,2,8,,0
5,13,27,31,49,3,8,,0
5,13,27,31,49,5,6,,0
5,13,27,31,49,3,5,13.0,4
5,13,27,31,49,5,10,,0
5,13,27,31,49,7,9,,0
5,13,27,31,49,7,12,,0
5,13,27,31,49,3,10,13.0,4
5,13,27,31,49,7,9,,0
5,13,27,31,49,2,9,13.0,4
5,13,27,31,49,5,6,,0
5,13,27,31,49,3,8,,0
5,13,27,31,49,7,12,,0
5,13,27,31,49,2,11,,0
5,13,27,31,49,5,10,,0
5,13,27,31,49,1,12,,0
5,13,27,31,49,8,10,,0
5,13,27,31,49,4,9,,0
5,13,27,31,49,10,12,,0
5,13,27,31,49,5,9,,0
5,13,27,31,49,8,12,,0
5,13,27,31,49,5,9,,0
5,13,27,31,49,2,8,,0
5,13,27,31,49,2,5,,0
5,13,27,31,49,5,7,,0
5,13,27,31,49,11,12,12.0,5
5,13,27,31,49,6,7,,0
5,13,27,31,49,9,12,,0
5,13,27,31,49,3,5,,0
5,13,27,31,49,5,6,,0
5,13,27,31,49,3,11,,0
5,13,27,31,49,3,8,,0
5,13,27,31,49,6,11,,0
5,13,27,31,49,2,5,,0
5,13,27,31,49,1,3,,0
5,13,27,31,49,5,8,,0
5,13,27,31,49,2,12,,0
5,13,27,31,49,1,5,,0
5,13,27,31,49,1,10,,0
5,13,27,31,49,1,2,,0
5,13,27,31,49,4,8,,0
5,13,27,31,49,3,7,,0
5,13,27,31,49,8,9,,0
5,13,27,31,49,3,5,,0
5,13,27,31,49,3,4,13.0,4
5,13,27,31,49,1,2,,0
5,13,27,31,49,3,4,,0
5,13,27,31,49,5,10,,0
5,13,27,31,49,3,5,,0
5,13,27,31,49,3,7,,0
5,13,27,31,49,2,8,,0
5,13,27,31,49,5,11,,0
5,13,27,31,49,1,5,,0
5,13,27,31,49,3,6,,0
5,13,27,31,49,5,12,13.0,4
5,13,27,31,49,2,10,,0
5,13,27,31,49,6,11,,0
5,13,27,31,49,5,9,,0
5,13,27,31,49,3,4,,0
5,13,27,31,49,9,12,12.0,5
5,13,27,31,49,1,3,,0
5,13,27,31,49,9,10,,0
5,13,27,31,49,3,4,,0
5,13,27,31,49,2,7,12.0,5
5,13,27,31,49,1,4,,0
